Gene,signature
ICAM1,Garber2001
PTK7,Garber2001
CEACAM1,Garber2001
DPP4,Garber2001
NKX2-1,Garber2001
GPR64,Garber2001
CIT,Garber2001
HPN,Garber2001
COL4A2,Garber2001
ODC1,Garber2001
CDK2AP1,Garber2001
COMP,Garber2001
SCNN1A,Garber2001
SLC7A5,Garber2001
ATM,Garber2001
GRAMD1B,Garber2001
PTGS2,Garber2001
CTSL,Garber2001
DKK1,Garber2001
PTGR1,Garber2001
VEGFC,Garber2001
ERO1L,Garber2001
ERBB2,Garber2001
PCTP,Garber2001
ICA1,Garber2001
BAG1,Beer2002
CASP4,Beer2002
FADD,Beer2002
TP63,Beer2002
TPBG,Beer2002
ITGA2,Beer2002
KRT18,Beer2002
KRT19,Beer2002
KRT7,Beer2002
LAMB1,Beer2002
TMSB4X,Beer2002
TUBA4A,Beer2002
BMP2,Beer2002
CDC6,Beer2002
H2AFZ,Beer2002
PDAP1,Beer2002
POLD3,Beer2002
REG1A,Beer2002
S100P,Beer2002
SERPINE1,Beer2002
STX1A,Beer2002
ADM,Beer2002
AKAP12,Beer2002
DEFB1,Beer2002
GRB7,Beer2002
INHA,Beer2002
ITK,Beer2002
NACA,Beer2002
STC1,Beer2002
TNFAIP6,Beer2002
VEGFA,Beer2002
VLDLR,Beer2002
WNT1,Beer2002
WNT10B,Beer2002
HSPA8,Beer2002
ERBB2,Beer2002
FXYD3,Beer2002
HLA-B,Beer2002
HPCAL1,Beer2002
P2RX5,Beer2002
PEX7,Beer2002
SLC20A1,Beer2002
SLC2A1,Beer2002
VDAC2,Beer2002
ALDH3B2,Beer2002
ALDOA,Beer2002
ATP2B1,Beer2002
CDS1,Beer2002
CSTB,Beer2002
CTSL,Beer2002
CYP24A1,Beer2002
FUCA1,Beer2002
FUT3,Beer2002
GAPDH,Beer2002
GCNT1,Beer2002
HMBS,Beer2002
KYNU,Beer2002
STARD3,Beer2002
MSH3,Beer2002
MT2A,Beer2002
NME2,Beer2002
PNP,Beer2002
FURIN,Beer2002
PDE7A,Beer2002
PLGLB1,Beer2002
PPIF,Beer2002
PTPRCAP,Beer2002
PPP2CA,Beer2002
MSMO1,Beer2002
SLC1A6,Beer2002
UBC,Beer2002
UGP2,Beer2002
UQCRC2,Beer2002
KLF6,Beer2002
CRK,Beer2002
DBP,Beer2002
GARS,Beer2002
AGFG1,Beer2002
TRA2A,Beer2002
PRDM2,Beer2002
RELA,Beer2002
RPS26,Beer2002
RPS3,Beer2002
RPS6KB1,Beer2002
EIF1,Beer2002
KLF10,Beer2002
TMF1,Beer2002
BBS9,Beer2002
FEZ2,Beer2002
PBXIP1,Beer2002
BZW1,Beer2002
KIAA0020,Beer2002
RFTN1,Beer2002
TTLL12,Beer2002
IP6K1,Beer2002
AREL1,Beer2002
SCGB2A2,Beer2002
FZD7,Raz2008
WIF1,Raz2008
FUT3,Raz2008
NXF1,Raz2008
ASMTL,Raz2008
CTNNB1,Raz2008
SH3BGR,Raz2008
ARAF,Raz2008
TYROBP,Raz2008
LRP3,Raz2008
PIK3CG,Raz2008
BMP7,Raz2008
TP53I3,Raz2008
BAG1,Raz2008
MINA,Raz2008
BCL2,Raz2008
TRDMT1,Raz2008
SCUBE2,Raz2008
PRKCA,Raz2008
IL11,Raz2008
GLI1,Raz2008
GLI2,Raz2008
BCL7A,Raz2008
MUC1,Raz2008
NRP2,Raz2008
WDHD1,Raz2008
ACSL6,Raz2008
MFHAS1,Raz2008
NMT1,Raz2008
UQCRC2,Raz2008
RARG,Raz2008
CAMK4,Raz2008
SH2D1A,Raz2008
OVOL2,Raz2008
VEGFA,Raz2008
LAMB1,Raz2008
WNT3A,Raz2008
CDC6,Raz2008
WNT10B,Raz2008
MMP11,Raz2008
RND3,Raz2008
CTSV,Raz2008
CSTB,Raz2008
CD68,Raz2008
WNT2,Raz2008
TP53,Raz2008
MKI67,Raz2008
KRAS,Raz2008
AURKA,Raz2008
BIRC5,Raz2008
ERBB2,Raz2008
CCNB1,Raz2008
CDK2AP1,Raz2008
CCND1,Raz2008
RHOH,Raz2008
CTSL,Raz2008
BAG1,Kratz2012
BRCA1,Kratz2012
CDC6,Kratz2012
CDK2AP1,Kratz2012
ERBB3,Kratz2012
FUT3,Kratz2012
IL11,Kratz2012
LCK,Kratz2012
RND3,Kratz2012
SH3BGR,Kratz2012
WNT3A,Kratz2012
ASPM,Wistuba2013
CDCA8,Wistuba2013
MCM10,Wistuba2013
FOXM1,Wistuba2013
CDC20,Wistuba2013
CDKN3,Wistuba2013
BIRC5,Wistuba2013
DLGAP5,Wistuba2013
KIF20A,Wistuba2013
BUB1B,Wistuba2013
PRC1,Wistuba2013
TK1,Wistuba2013
CEP55,Wistuba2013
PBK,Wistuba2013
RAD54L,Wistuba2013
NUSAP1,Wistuba2013
RRM2,Wistuba2013
KIAA0101,Wistuba2013
ORC6,Wistuba2013
RAD51,Wistuba2013
CENPM,Wistuba2013
SKA1,Wistuba2013
CENPF,Wistuba2013
KIF11,Wistuba2013
PTTG1,Wistuba2013
CDK1,Wistuba2013
DTL,Wistuba2013
PLK1,Wistuba2013
CDCA3,Wistuba2013
ASF1B,Wistuba2013
TOP2A,Wistuba2013
ADAM10,Krzystanek2016
DLGAP5,Krzystanek2016
RAD51AP1,Krzystanek2016
FGFR1OP,Krzystanek2016
KIF15,Krzystanek2016
ASPM,Krzystanek2016
NUDCD1,Bianchi2007
E2F1,Bianchi2007
HOXB7,Bianchi2007
MCM6,Bianchi2007
SERPINB5,Bianchi2007
E2F4,Bianchi2007
HSPG2,Bianchi2007
SF3B1,Bianchi2007
RRM2,Bianchi2007
SCGB3A1,Bianchi2007
STX1A,Boutros2008
HIF1A,Boutros2008
CCT3,Boutros2008
HLA-DBPB1,Boutros2008
MAFK,Boutros2008
RNF5,Boutros2008
ATP1B1,Zhu2010
TRIM14,Zhu2010
FAM64A,Zhu2010
FOSL2,Zhu2010
HEXIM1,Zhu2010
MB,Zhu2010
L1CAM,Zhu2010
UMPS,Zhu2010
EDN3,Zhu2010
STMN2,Zhu2010
MYT1L,Zhu2010
IKBKAP,Zhu2010
MLANA,Zhu2010
MDM2,Zhu2010
ZNF236,Zhu2010